source,item,filename,status
Screenshot_20260908-215658.jpg,Suco Vermelho,suco-vermelho.png,included
Screenshot_20260908-215658.jpg,Agua Mineral sem Gas,agua-mineral-sem-gas.png,included
Screenshot_20260908-215658.jpg,Agua Mineral com Gas,agua-mineral-com-gas.png,included
Screenshot_20260908-215658.jpg,Suco de Laranja,suco-de-laranja.png,included
Screenshot_20260908-215702.jpg,Lemon Cake + Tiramisu Latte,lemon-cake-tiramisu-latte.png,included
Screenshot_20260908-215702.jpg,Banana Cake + Tiramisu Latte,banana-cake-tiramisu-latte.png,included
Screenshot_20260908-215702.jpg,Croissant with jam + Tiramisu Iced Latte,croissant-with-jam-tiramisu-iced-latte.png,included
Screenshot_20260908-215702.jpg,Americano + Banana Cake,americano-banana-cake.png,included
Screenshot_20260908-215707.jpg,Ham and Eggs,ham-and-eggs.png,included
Screenshot_20260908-215707.jpg,Brownie com sorvete,brownie-com-sorvete.png,included
Screenshot_20260908-215707.jpg,Affogato Coffee,affogato-coffee.png,included
Screenshot_20260908-215716.jpg,Cookie Matcha & White Chocolate,cookie-matcha-white-chocolate.png,included
Screenshot_20260908-215716.jpg,Macadamia Cookie,macadamia-cookie.png,included
Screenshot_20260908-215716.jpg,Yogurt Granola Bowl,yogurt-granola-bowl.png,included
Screenshot_20260908-215716.jpg,Salada de Frutas,salada-de-frutas.png,included
Screenshot_20260908-215720.jpg,Cookie Tradicional,cookie-tradicional.png,included
Screenshot_20260908-215720.jpg,Cookie Triple Chocolate,cookie-triple-chocolate.png,included
Screenshot_20260908-215720.jpg,Salted Caramel Cookie,salted-caramel-cookie.png,included
Screenshot_20260908-215722.jpg,Banana Cake,banana-cake.png,included
Screenshot_20260908-215722.jpg,Lemon Cake,lemon-cake.png,included
Screenshot_20260908-215722.jpg,Bolo do dia,bolo-do-dia.png,included
Screenshot_20260908-215722.jpg,Muffin Tradicional,muffin-tradicional.png,included
Screenshot_20260908-215726.jpg,Cookie Vanilla Jelly,cookie-vanilla-jelly.png,included
Screenshot_20260908-215726.jpg,Peanut & Red Berry Bar,peanut-red-berry-bar.png,included
Screenshot_20260908-215726.jpg,Brownie,brownie.png,included
Screenshot_20260908-215726.jpg,Cinnamon Roll,cinnamon-roll.png,included
Screenshot_20260908-215729.jpg,Croissant Traditional,croissant-traditional.png,included
Screenshot_20260908-215729.jpg,Croissant com geleia,croissant-com-geleia.png,included
Screenshot_20260908-215729.jpg,Cheese stick,cheese-stick.png,included
Screenshot_20260908-215729.jpg,Trufa de Caramelo Salgado,trufa-de-caramelo-salgado.png,included
Screenshot_20260908-215734.jpg,Pain au Chocolat,pain-au-chocolat.png,included
Screenshot_20260908-215734.jpg,Croissant recheado com mucarela e copa,croissant-recheado-com-mucarela-e-copa.png,included
Screenshot_20260908-215734.jpg,Croissant recheado com mucarela,croissant-recheado-com-mucarela.png,included
Screenshot_20260908-215734.jpg,Croissant recheado com queijo e presunto,croissant-recheado-com-queijo-e-presunto.png,included
Screenshot_20260908-215738.jpg,Focaccia Salami,focaccia-salami.png,included
Screenshot_20260908-215738.jpg,Queijo Quente,queijo-quente.png,included
Screenshot_20260908-215738.jpg,Misto Quente,misto-quente.png,included
Screenshot_20260908-215738.jpg,Misto + Tomate Cereja,misto-tomate-cereja.png,included
Screenshot_20260908-215741.jpg,Bolo de Banana com Ganache de Chocolate,bolo-de-banana-com-ganache-de-chocolate.png,included
Screenshot_20260908-215741.jpg,Focaccia Serrano Ham,focaccia-serrano-ham.png,included
Screenshot_20260908-215741.jpg,Focaccia Ham,focaccia-ham.png,included
Screenshot_20260908-215747.jpg,Barra de Caramelo,barra-de-caramelo.png,included
Screenshot_20260908-215747.jpg,French Toast,french-toast.png,included
Screenshot_20260908-215747.jpg,Panqueca com Frutas e Mel,panqueca-com-frutas-e-mel.png,included
Screenshot_20260908-215750.jpg,Sanduiche de Ragu,sanduiche-de-ragu.png,included
Screenshot_20260908-215750.jpg,Honey Egg Croissant,honey-egg-croissant.png,included
Screenshot_20260908-215750.jpg,Omelet Bacon Sandwich,omelet-bacon-sandwich.png,included
Screenshot_20260908-215750.jpg,Mussarela de Bufala e Rucula,mussarela-de-bufala-e-rucula.png,included
Screenshot_20260908-215754.jpg,Eggs Benedict,eggs-benedict.png,included
Screenshot_20260908-215754.jpg,Avocado Toast,avocado-toast.png,included
Screenshot_20260908-215754.jpg,Omelet Toast,omelet-toast.png,included
Screenshot_20260908-215754.jpg,Breakfast Sandwich,breakfast-sandwich.png,included
Screenshot_20260908-215757.jpg,Combo Tokyo,combo-tokyo.png,included
Screenshot_20260908-215757.jpg,Combo Osaka,combo-osaka.png,included
Screenshot_20260908-215757.jpg,Combo Kyoto,combo-kyoto.png,included
Screenshot_20260908-215757.jpg,Omelet Bacon,omelet-bacon.png,included
Screenshot_20260908-215759.jpg,Cachapa Venezolana,cachapa-venezolana.png,included
Screenshot_20260908-215759.jpg,Smoked salmon and egg salad,smoked-salmon-and-egg-salad.png,included
Screenshot_20260908-215759.jpg,Roast Beef Salad,roast-beef-salad.png,included
Screenshot_20260908-215802.jpg,Hot Drip V60,hot-drip-v60.png,included
Screenshot_20260908-215802.jpg,Cold Drip V60,cold-drip-v60.png,included
Screenshot_20260908-215804.jpg,Fresh Soda Siciliano,fresh-soda-siciliano.png,included
Screenshot_20260908-215804.jpg,Fresh Soda Pink Lemonade,fresh-soda-pink-lemonade.png,included
Screenshot_20260908-215804.jpg,Fresh Soda Maracuja,fresh-soda-maracuja.png,included
Screenshot_20260908-215807.jpg,Gelato Frappe Coffee,gelato-frappe-coffee.png,included
